player,birthday,year,month,yrs
Nikola Jokić,19/02/95,1995,february,5
Walter Jordan,19/02/56,1956,february,1
Rudy Macklin,19/02/58,1958,february,3
Marlon Maxey,19/02/69,1969,february,2
Mike Miller,19/02/80,1980,february,17
Ed Nealy,19/02/60,1960,february,10
Adreian Payne,19/02/91,1991,february,4
Kosta Perović,19/02/85,1985,february,1
John Pinone,19/02/61,1961,february,1
Terrence Rencher,19/02/73,1973,february,1
Chico Vaughn,19/02/40,1940,february,8
Jeff Webster,19/02/71,1971,february,1
Jahidi White,19/02/76,1976,february,7
Jawad Williams,19/02/83,1983,february,3
D.J. Wilson,19/02/96,1996,february,3
Charles Barkley*,20/02/63,1963,february,16
Robert Churchwell,20/02/72,1972,february,1
Jarrett Culver,20/02/99,1999,february,1
James Johnson,20/02/87,1987,february,11
Stephon Marbury,20/02/77,1977,february,13
Rawle Marshall,20/02/82,1982,february,2
Ruben Nembhard,20/02/72,1972,february,1
Frank Oleynick,20/02/55,1955,february,2
Milt Wagner,20/02/63,1963,february,2
Erick Barkley,21/02/78,1978,february,2
Andre Barrett,21/02/82,1982,february,4
Steve Francis,21/02/77,1977,february,9
Donté Greene,21/02/88,1988,february,4
Malik Newman,21/02/97,1997,february,1
Gary Plummer,21/02/62,1962,february,2
Dennis Awtrey,22/02/48,1948,february,12
Archie Dees,22/02/36,1936,february,4
Chris Dudley,22/02/65,1965,february,16
Julius Erving*,22/02/50,1950,february,16
Gene Gallette,22/02/19,1919,february,1
Devonte' Graham,22/02/95,1995,february,2
Tony Jaros,22/02/20,1920,february,4
George Kaftan,22/02/28,1928,february,5
Adam Keefe,22/02/70,1970,february,9
Goose Ligon,22/02/44,1944,february,7
Lewis Lloyd,22/02/59,1959,february,7
Ted Manakas,22/02/51,1951,february,1
Leland Mitchell,22/02/41,1941,february,1
Lee Nailon,22/02/75,1975,february,6
Charles O'Bannon,22/02/75,1975,february,2
Elfrid Payton,22/02/94,1994,february,6
Jim Petersen,22/02/62,1962,february,8
Jerome Robinson,22/02/97,1997,february,2
Rajon Rondo,22/02/86,1986,february,14
Dick Van Arsdale,22/02/43,1943,february,12
Tom Van Arsdale,22/02/43,1943,february,12
Chet Walker*,22/02/40,1940,february,13
Jayson Williams,22/02/68,1968,february,9
Howie Wright,22/02/47,1947,february,2
Roger Brown,23/02/50,1950,february,5
Charles Edge,23/02/50,1950,february,2
Mal Graham,23/02/45,1945,february,2
Gary Gray,23/02/45,1945,february,1
Malik Hairston,23/02/87,1987,february,2
Armon Johnson,23/02/89,1989,february,2
Leary Lentz,23/02/45,1945,february,2
Ariel Maughan,23/02/23,1923,february,5
Dave Minor,23/02/22,1922,february,2
Jamal Murray,23/02/97,1997,february,4
Jeff Nordgaard,23/02/73,1973,february,1
D'Angelo Russell,23/02/96,1996,february,5
Lee Shaffer,23/02/39,1939,february,3
Dijon Thompson,23/02/83,1983,february,2
Darren Tillis,23/02/60,1960,february,2
Jamie Watson,23/02/72,1972,february,4
Andrew Wiggins,23/02/95,1995,february,6
Rodrigue Beaubois,24/02/88,1988,february,4
Moe Becker,24/02/17,1917,february,1
Corey Benjamin,24/02/78,1978,february,4
Jim Brogan,24/02/58,1958,february,2
Tom Burleson,24/02/52,1952,february,7
Eddie Johnson,24/02/55,1955,february,10
Kosta Koufos,24/02/89,1989,february,11
Al Tucker,24/02/43,1943,february,5
James Blackwell,25/02/68,1968,february,1
Nelson Bobb,25/02/24,1924,february,4
Antonio Burks,25/02/80,1980,february,2
Gary Forbes,25/02/85,1985,february,2
Jimmer Fredette,25/02/89,1989,february,6
Matt Guokas,25/02/44,1944,february,10
Mario Hezonja,25/02/95,1995,february,5
Donald Hodge,25/02/69,1969,february,5
Thon Maker,25/02/97,1997,february,4
E'Twaun Moore,25/02/89,1989,february,9
Joakim Noah,25/02/85,1985,february,13
Cincinnatus Powell,25/02/42,1942,february,8
Kurt Rambis,25/02/58,1958,february,14
Milt Schoon,25/02/22,1922,february,2
Gene Vance,25/02/23,1923,february,5
Fred VanVleet,25/02/94,1994,february,4
Samaki Walker,25/02/76,1976,february,10
Frank Williams,25/02/80,1980,february,3
Nikita Wilson,25/02/64,1964,february,1
Chuck Aleksinas,26/02/59,1959,february,1
Rolando Blackman,26/02/59,1959,february,13
Steve Blake,26/02/80,1980,february,13
Sasha Danilović,26/02/70,1970,february,2
Joe Holup,26/02/34,1934,february,3
Clint McDaniel,26/02/72,1972,february,1
Chuck Mrazovich,26/02/24,1924,february,1
Lavor Postell,26/02/78,1978,february,3
Tex Ritter,26/02/24,1924,february,3
Bingo Smith,26/02/46,1946,february,11
Jim Spruill,26/02/23,1923,february,1
Tim Thomas,26/02/77,1977,february,13
James Augustine,27/02/84,1984,february,2
David Gaines,27/02/40,1940,february,1
Daniel Gibson,27/02/86,1986,february,7
Walt Gilmore,27/02/47,1947,february,1
Chick Halbert,27/02/19,1919,february,5
Devin Harris,27/02/83,1983,february,15
Dwight Jones,27/02/52,1952,february,10
Wil Jones,27/02/47,1947,february,9
Rod Knowles,27/02/46,1946,february,1
Meyers Leonard,27/02/92,1992,february,8
David Noel,27/02/84,1984,february,1
Terence Stansbury,27/02/61,1961,february,3
Loy Vaught,27/02/68,1968,february,11
Brandon Williams,27/02/75,1975,february,3
James Worthy*,27/02/61,1961,february,12
Vincent Askew,28/02/66,1966,february,9
Ticky Burden,28/02/53,1953,february,3
Alex Caruso,28/02/94,1994,february,3
Adrian Dantley*,28/02/55,1955,february,15
Luka Dončić,28/02/99,1999,february,2
Francisco Elson,28/02/76,1976,february,9
Duane Ferrell,28/02/65,1965,february,11
Charles Jenkins,28/02/89,1989,february,2
Tommy Kron,28/02/43,1943,february,4
Josh McRoberts,28/02/87,1987,february,11
Tayshaun Prince,28/02/80,1980,february,14
Tom Riker,28/02/50,1950,february,3
Marquis Teague,28/02/93,1993,february,3
Jamaal Tinsley,28/02/78,1978,february,11
Chucky Brown,29/02/68,1968,february,13
John Chaney,29/02/20,1920,february,1
Vonteego Cummings,29/02/76,1976,february,3
Travis Diener,01/03/82,1982,march,5
Chris Engler,01/03/59,1959,march,5
Vincenzo Esposito,01/03/69,1969,march,1
Willie Long,01/03/50,1950,march,3
John Olive,01/03/55,1955,march,2
Chris Owens,01/03/79,1979,march,1
Ray Radziszewski,01/03/35,1935,march,1
Wally Rank,01/03/58,1958,march,1
Fred Scolari,01/03/22,1922,march,9
Jeff Slade,01/03/41,1941,march,1
Jarvis Varnado,01/03/88,1988,march,2
Chris Webber,01/03/73,1973,march,15
Brian Winters,01/03/52,1952,march,9
Nicolás Brussino,02/03/93,1993,march,2
Ned Endress,02/03/18,1918,march,1
John Hazen,02/03/27,1927,march,1
Jonas Jerebko,02/03/87,1987,march,9
Mike McCarron,02/03/22,1922,march,2
Dexter Pittman,02/03/88,1988,march,4
Dwayne Polee,02/03/63,1963,march,1
Jason Smith,02/03/86,1986,march,11
Don Carlos,03/03/44,1944,march,1
Cornelius Cash,03/03/52,1952,march,1
Pete Darcey,03/03/30,1930,march,1
Billy Evans,03/03/47,1947,march,1
Jim Jarvis,03/03/43,1943,march,2
Cameron Johnson,03/03/96,1996,march,1
Johnny Moore,03/03/58,1958,march,9
Dan O'Sullivan,03/03/68,1968,march,4
Frank Radovich,03/03/38,1938,march,1
Jayson Tatum,03/03/98,1998,march,3
Willie Wise,03/03/47,1947,march,9
Guillermo Díaz,04/03/85,1985,march,1
Alex Garcia,04/03/80,1980,march,2
Draymond Green,04/03/90,1990,march,8
Trenton Hassell,04/03/79,1979,march,9
Kevin Johnson,04/03/66,1966,march,12
Gal Mekel,04/03/88,1988,march,2
Jack Parkinson,04/03/24,1924,march,1
Frank Reddout,04/03/31,1931,march,1
Jared Sullinger,04/03/92,1992,march,5
Matisse Thybulle,04/03/97,1997,march,1
Corey Brewer,05/03/86,1986,march,13
Leroy Chollet,05/03/25,1925,march,2
Larry Drew,05/03/90,1990,march,2
Charles Dudley,05/03/50,1950,march,6
Corsley Edwards,05/03/79,1979,march,1
Brian Grant,05/03/72,1972,march,12
Carroll Hooser,05/03/44,1944,march,1
Cedric Jackson,05/03/86,1986,march,1
Šarūnas Jasikevičius,05/03/76,1976,march,2
Tom Kelly,05/03/24,1924,march,1
Rob Kurz,05/03/85,1985,march,1
Emmanuel Mudiay,05/03/96,1996,march,5
Johnny Norlander,05/03/21,1921,march,5
Mason Plumlee,05/03/90,1990,march,7
Bob Quick,05/03/46,1946,march,4
Scott Skiles,05/03/64,1964,march,10
Wally Szczerbiak,05/03/77,1977,march,10
Reggie Williams,05/03/64,1964,march,10
Don Boven,06/03/25,1925,march,3
Dwight Buycks,06/03/89,1989,march,3
John Celestand,06/03/77,1977,march,1
Michael Finley,06/03/73,1973,march,15
Sleepy Floyd,06/03/60,1960,march,13
Josh Hart,06/03/95,1995,march,3
John Jenkins,06/03/91,1991,march,6
Coby Karl,06/03/83,1983,march,2
Negele Knight,06/03/67,1967,march,6
Darrick Martin,06/03/71,1971,march,13
Malcolm Miller,06/03/93,1993,march,3
Kevin Murphy,06/03/90,1990,march,1
Shaquille O'Neal*,06/03/72,1972,march,19
Greg Ostertag,06/03/73,1973,march,11
Marcus Smart,06/03/94,1994,march,6
Irv Torgoff,06/03/17,1917,march,3
Elnardo Webster,06/03/48,1948,march,1
Cedric Bozeman,07/03/83,1983,march,1
Ian Clark,07/03/91,1991,march,6
Greg Fillmore,07/03/47,1947,march,2
Litterial Green,07/03/70,1970,march,5
Jake Layman,07/03/94,1994,march,4
John O'Boyle,07/03/28,1928,march,1
Andy Phillip*,07/03/22,1922,march,11
Bob Rensberger,07/03/21,1921,march,1
Devin Robinson,07/03/95,1995,march,2
Lester Selvage,07/03/43,1943,march,2
Grant Simmons,07/03/43,1943,march,2
Oliver Taylor,07/03/47,1947,march,4
Sam Williams,07/03/59,1959,march,4
Jeff Withey,07/03/90,1990,march,5
Bobby Edmonds,08/03/41,1941,march,2
Michael Frazier,08/03/94,1994,march,1
Marko Guduric,08/03/95,1995,march,1
Robbie Hummel,08/03/89,1989,march,2
Kenny Smith,08/03/65,1965,march,10
Sasha Vujačić,08/03/84,1984,march,10
Isaiah Whitehead,08/03/95,1995,march,2
Buck Williams,08/03/60,1960,march,17
Bob Wilson,08/03/26,1926,march,1
Mahmoud Abdul-Rauf,09/03/69,1969,march,9
Matt Barnes,09/03/80,1980,march,14
Dwaine Dillard,09/03/49,1949,march,1
Adonal Foyle,09/03/75,1975,march,12
Tom King,09/03/24,1924,march,1
Jeff Lamp,09/03/59,1959,march,6
Boniface N'Dong,09/03/77,1977,march,1
Ronnie Robinson,09/03/51,1951,march,2
Ben Schadler,09/03/24,1924,march,1
Wayne Simien,09/03/83,1983,march,2
Keith Smith,09/03/64,1964,march,1
Joe Thomas,09/03/48,1948,march,1
Darrell Walker,09/03/61,1961,march,10
Ron Widby,09/03/45,1945,march,1
Jeff Wilkins,09/03/55,1955,march,6
Kwame Brown,10/03/82,1982,march,12
Jackie Butler,10/03/85,1985,march,3
Austin Carr,10/03/48,1948,march,10
Pat Durham,10/03/67,1967,march,2
Bulbs Ehlers,10/03/23,1923,march,2
Leroy Ellis,10/03/40,1940,march,14
Bill Gaines,10/03/46,1946,march,1
Kirk Haston,10/03/79,1979,march,2
Zach LaVine,10/03/95,1995,march,6
Ricky Marsh,10/03/54,1954,march,1
Tim McCormick,10/03/62,1962,march,8
Dick Murphy,10/03/21,1921,march,1
Andy O'Donnell,10/03/25,1925,march,1
Quincy Pondexter,10/03/88,1988,march,7
Robert Smith,10/03/55,1955,march,7
Chris Taft,10/03/85,1985,march,1
Pete Williams,10/03/65,1965,march,2
Mark Workman,10/03/30,1930,march,2
Tom Barker,11/03/55,1955,march,2
Vince Boryla,11/03/27,1927,march,5
Elton Brand,11/03/79,1979,march,17
Greg Butler,11/03/66,1966,march,3
Anthony Davis,11/03/93,1993,march,8
Malcolm Delaney,11/03/89,1989,march,2
Rod Derline,11/03/52,1952,march,2
Cedric Henderson,11/03/75,1975,march,5
Orlando Johnson,11/03/89,1989,march,3
Fred Jones,11/03/79,1979,march,7
Terry Kunze,11/03/43,1943,march,1
Jim McMillian,11/03/48,1948,march,9
Shellie McMillon,11/03/36,1936,march,4
Jackie Moreland,11/03/38,1938,march,8
Tom Sewell,11/03/62,1962,march,1
Ray Spalding,11/03/97,1997,march,1
Martynas Andriuškevičius,12/03/86,1986,march,1
Charlie Bell,12/03/79,1979,march,7
Chris Carr,12/03/74,1974,march,6
Carsen Edwards,12/03/98,1998,march,1
Jerami Grant,12/03/94,1994,march,6
Kleggie Hermsen,12/03/23,1923,march,6
Bob Houbregs*,12/03/32,1932,march,5
Johnny Jones,12/03/43,1943,march,2
Maurice King,12/03/35,1935,march,2
Grant Long,12/03/66,1966,march,15
Erwin Mueller,12/03/44,1944,march,8
John Richter,12/03/37,1937,march,1
Isaiah Rider,12/03/71,1971,march,9
Rex Walters,12/03/70,1970,march,7
Rickey Williams,12/03/57,1957,march,1
Caron Butler,13/03/80,1980,march,14
Dave Hoppen,13/03/64,1964,march,6
Troy Hudson,13/03/76,1976,march,11
Bobby Jackson,13/03/73,1973,march,12
Kurt Nimphius,13/03/58,1958,march,8
Jack Parr,13/03/36,1936,march,1
Bill Roberts,13/03/25,1925,march,2
Cliff Robinson,13/03/60,1960,march,11
Oliver Robinson,13/03/60,1960,march,1
Landry Shamet,13/03/97,1997,march,2
Fatty Taylor,13/03/46,1946,march,8
Tristan Thompson,13/03/91,1991,march,9
Marvin Bagley,14/03/99,1999,march,2
Anthony Bennett,14/03/93,1993,march,4
Darrell Brown,14/03/23,1923,march,1
Stephen Curry,14/03/88,1988,march,11
Bob Fitzgerald,14/03/23,1923,march,2
Ira Harge,14/03/41,1941,march,6
Larry Johnson,14/03/69,1969,march,10
Clyde Lee,14/03/44,1944,march,10
Henry Logan,14/03/46,1946,march,2
Max Morris,14/03/25,1925,march,1
Patrick Patterson,14/03/89,1989,march,10
Chuck Share,14/03/27,1927,march,9
Keith Starr,14/03/54,1954,march,1
Wes Unseld*,14/03/46,1946,march,13
Samuel Watts,14/03/48,1948,march,1
Terry Cummings,15/03/61,1961,march,18
Xavier Henry,15/03/91,1991,march,5
John Janisch,15/03/20,1920,march,2
Kevin Loder,15/03/59,1959,march,3
Jabari Parker,15/03/95,1995,march,6
Connie Simmons,15/03/25,1925,march,10
Brady Walker,15/03/21,1921,march,4
Sergei Bazarevich,16/03/65,1965,march,1
Jim Bradley,16/03/52,1952,march,3
Reggie Bullock,16/03/91,1991,march,7
Toney Douglas,16/03/86,1986,march,8
Joel Embiid,16/03/94,1994,march,4
Blake Griffin,16/03/89,1989,march,10
Tim Hardaway,16/03/92,1992,march,7
Bob Harris,16/03/27,1927,march,5
Porter Meriwether,16/03/40,1940,march,1
Matt Othick,16/03/69,1969,march,1
Trevor Wilson,16/03/68,1968,march,4
Danny Ainge,17/03/59,1959,march,14
Sam Bowie,17/03/61,1961,march,10
Steve Bucknall,17/03/66,1966,march,1
Chris Copeland,17/03/84,1984,march,4
Bobby Croft,17/03/46,1946,march,1
Pat Dunn,17/03/31,1931,march,1
Kyle Korver,17/03/81,1981,march,17
Clyde Mayes,17/03/53,1953,march,2
Jeremy Pargo,17/03/86,1986,march,3
Thomas Robinson,17/03/91,1991,march,5
Terry Rozier,17/03/94,1994,march,5
Willie Somerset,17/03/42,1942,march,3
Kedrick Brown,18/03/81,1981,march,4
Sherron Collins,18/03/87,1987,march,1
Kris Dunn,18/03/94,1994,march,4
Fred Foster,18/03/46,1946,march,8
Steve Goodrich,18/03/76,1976,march,2
Solomon Hill,18/03/91,1991,march,7
Bill Jones,18/03/66,1966,march,1
Stanton Kidd,18/03/92,1992,march,1
Skal Labissière,18/03/96,1996,march,4
Mike Lewis,18/03/46,1946,march,6
Glenn McDonald,18/03/52,1952,march,3
C.J. Miles,18/03/87,1987,march,15
Jeff Mullins,18/03/42,1942,march,12
Kasib Powell,18/03/81,1981,march,1
Soumaila Samake,18/03/78,1978,march,2
Brian Scalabrine,18/03/78,1978,march,11
Jake Weber,18/03/18,1918,march,1
Win Wilfong,18/03/33,1933,march,4
Dale Wilkinson,18/03/60,1960,march,1
Ivica Zubac,18/03/97,1997,march,4
Nate Bowman,19/03/43,1943,march,6
Dudley Bradley,19/03/57,1957,march,9
Anthony Cook,19/03/67,1967,march,4
Antonio Daniels,19/03/75,1975,march,13
Larry Fogle,19/03/53,1953,march,1
Donte Grantham,19/03/95,1995,march,1
Tyrone Hill,19/03/68,1968,march,14
Casey Jacobsen,19/03/81,1981,march,4
Scott May,19/03/54,1954,march,7
Andre Miller,19/03/76,1976,march,17
Murray Mitchell,19/03/23,1923,march,1
James Phelan,19/03/29,1929,march,1
Miloš Teodosić,19/03/87,1987,march,2
Hedo Türkoğlu,19/03/79,1979,march,15
Ben Uzoh,19/03/88,1988,march,2
John Barnhill,20/03/38,1938,march,10
Mookie Blaylock,20/03/67,1967,march,13
Ronnie Brewer,20/03/85,1985,march,8
Jon Brockman,20/03/87,1987,march,3
Jimmy Conner,20/03/53,1953,march,1
Jamal Crawford,20/03/80,1980,march,20
Derrek Dickey,20/03/51,1951,march,5
Wyndol Gray,20/03/22,1922,march,2
Bobby Lewis,20/03/45,1945,march,4
Leo Rautins,20/03/60,1960,march,2
Pat Riley*,20/03/45,1945,march,9
JaKarr Sampson,20/03/93,1993,march,5
Belus Smawley,20/03/18,1918,march,6
Phil Walker,20/03/56,1956,march,1
Bob Warlick,20/03/41,1941,march,5
Solomon Alabi,21/03/88,1988,march,2
Orbie Bowling,21/03/39,1939,march,1
Miles Bridges,21/03/98,1998,march,2
Norm Cook,21/03/55,1955,march,2
Mike Dunleavy,21/03/54,1954,march,11
Johnny Ezersky,21/03/22,1922,march,3
Tarence Kinsey,21/03/84,1984,march,3
Doug Kistler,21/03/38,1938,march,1
Darius Miller,21/03/90,1990,march,5
Fabricio Oberto,21/03/75,1975,march,6
Vitaly Potapenko,21/03/75,1975,march,11
Steve Sheppard,21/03/54,1954,march,2
Scott Williams,21/03/68,1968,march,15
Vincent Yarbrough,21/03/81,1981,march,1
Shawn Bradley,22/03/72,1972,march,12
Marcus Camby,22/03/74,1974,march,17
Don Carlson,22/03/19,1919,march,4
Don Chaney,22/03/46,1946,march,12
Deng Gai,22/03/82,1982,march,1
Lamar Green,22/03/47,1947,march,6
Kevin Henderson,22/03/64,1964,march,2
John Konchar,22/03/96,1996,march,1
Ed Macauley*,22/03/28,1928,march,10
Chimezie Metu,22/03/97,1997,march,2
Sonny Parker,22/03/55,1955,march,6
Bob Portman,22/03/47,1947,march,4
Brian Shaw,22/03/66,1966,march,14
Edy Tavares,22/03/92,1992,march,2
Wayne Turner,22/03/76,1976,march,1
Taurean Waller-Prince,22/03/94,1994,march,4
Bobby Watson,22/03/30,1930,march,1
Michael Anderson,23/03/66,1966,march,1
Quinn Cook,23/03/93,1993,march,4
Joseph Forte,23/03/81,1981,march,2
Gordon Hayward,23/03/90,1990,march,10
Kyrie Irving,23/03/92,1992,march,9
Jeff Judkins,23/03/56,1956,march,5
Rich Kelley,23/03/53,1953,march,11
Jason Kidd*,23/03/73,1973,march,19
Norm Mager,23/03/26,1926,march,1
Moses Malone*,23/03/55,1955,march,21
Mel Peterson,23/03/38,1938,march,4
Charles Pittman,23/03/58,1958,march,4
Mickey Rottner,23/03/19,1919,march,2
David Vaughn,23/03/73,1973,march,4
Paul Walther,23/03/27,1927,march,6
Eric Washington,23/03/74,1974,march,2
Chris Bosh,24/03/84,1984,march,13
Marques Bragg,24/03/70,1970,march,1
T.J. Ford,24/03/83,1983,march,8
Bart Kofoed,24/03/64,1964,march,5
Larry Micheaux,24/03/60,1960,march,2
Bob Priddy,24/03/30,1930,march,1
Dexter Shouse,24/03/63,1963,march,1
Myles Turner,24/03/96,1996,march,5
Earl Williams,24/03/51,1951,march,4
Mike Woodson,24/03/58,1958,march,11
James Anderson,25/03/89,1989,march,5
Darrell Arthur,25/03/88,1988,march,9
Marco Belinelli,25/03/86,1986,march,13
Ken Boyd,25/03/52,1952,march,1
William Cunningham,25/03/74,1974,march,2
Dale Davis,25/03/69,1969,march,16
Dick Duckett,25/03/33,1933,march,1
Avery Johnson,25/03/65,1965,march,16
Grady Lewis,25/03/17,1917,march,3
Kyle Lowry,25/03/86,1986,march,14
Fernando Martín,25/03/62,1962,march,1
T.J. McConnell,25/03/92,1992,march,5
Lawrence Moten,25/03/72,1972,march,3
Dennis Nutt,25/03/63,1963,march,1
Bob Sura,25/03/73,1973,march,10
Adonis Thomas,25/03/93,1993,march,1
Jamel Thomas,25/03/73,1973,march,2
Andy Walker,25/03/55,1955,march,1
D.C. Wilcutt,25/03/23,1923,march,2
Leon Wood,25/03/62,1962,march,6
Ryan Arcidiacono,26/03/94,1994,march,3
Dave Batton,26/03/56,1956,march,2
Al Bianchi,26/03/32,1932,march,10
Joe Binion,26/03/61,1961,march,1
Uwe Blab,26/03/62,1962,march,5
Wayne Embry*,26/03/37,1937,march,11
Daniel Ewing,26/03/83,1983,march,2
Wenyen Gabriel,26/03/97,1997,march,1
Kyle O'Quinn,26/03/90,1990,march,8
John Stockton*,26/03/62,1962,march,19
Jack Thompson,26/03/46,1946,march,1
Justise Winslow,26/03/96,1996,march,5
Brad Wright,26/03/62,1962,march,2
Cory Blackwell,27/03/63,1963,march,1
Danny Fortson,27/03/76,1976,march,10
Tom Hammonds,27/03/67,1967,march,12
Žarko Paspalj,27/03/66,1966,march,1
Ed Pinckney,27/03/63,1963,march,12
Josh Selby,27/03/91,1991,march,2
Henry Sims,27/03/90,1990,march,4
Matt Steigenga,27/03/70,1970,march,1
Shayne Whittington,27/03/91,1991,march,2
Rick Barry*,28/03/44,1944,march,14
Chris Corchiani,28/03/68,1968,march,3
Pete Cross,28/03/48,1948,march,3
Aubrey Davis,28/03/21,1921,march,1
Len Elmore,28/03/52,1952,march,10
Marcus Georges-Hunt,28/03/94,1994,march,2
Derrick Gervin,28/03/63,1963,march,2
Justin Jackson,28/03/95,1995,march,3
Nick Jones,28/03/45,1945,march,5
Sam Lacey,28/03/48,1948,march,13
Ralph Lewis,28/03/63,1963,march,3
Kevin Loughery,28/03/40,1940,march,11
Jordan McRae,28/03/91,1991,march,4
Elliot Perry,28/03/69,1969,march,10
Wesley Person,28/03/71,1971,march,11
Byron Scott,28/03/61,1961,march,14
Jerry Sloan*,28/03/42,1942,march,11
Michael Smith,28/03/72,1972,march,7
Max Strus,28/03/96,1996,march,1
Bill Thieben,28/03/35,1935,march,2
Alexander Volkov,28/03/64,1964,march,2
Luke Walton,28/03/80,1980,march,10
Robert Archibald,29/03/80,1980,march,2
Wade Baldwin,29/03/96,1996,march,3
Ben Bentil,29/03/95,1995,march,1
Kay Felder,29/03/95,1995,march,2
Walt Frazier*,29/03/45,1945,march,13
Travis Leslie,29/03/90,1990,march,1
Samuel Little,29/03/46,1946,march,1
Carl Meinhold,29/03/26,1926,march,2
Dana Pagett,29/03/49,1949,march,1
Howie Rader,29/03/21,1921,march,1
Igor Rakočević,29/03/78,1978,march,1
Ed Ratleff,29/03/50,1950,march,5
Bob Schafer,29/03/33,1933,march,2
Glen Selbo,29/03/26,1926,march,1
Herschell Turner,29/03/38,1938,march,1
Dennis Wuycik,29/03/50,1950,march,3
Ron Baker,30/03/93,1993,march,3
Shaler Halimon,30/03/45,1945,march,5
Jaylen Hoard,30/03/99,1999,march,1
Jerry Lucas*,30/03/40,1940,march,11
LaRue Martin,30/03/50,1950,march,4
Ossie Schectman,30/03/19,1919,march,1
Admiral Schofield,30/03/97,1997,march,1
Don Barksdale*,31/03/23,1923,march,4
Cal Bowdler,31/03/77,1977,march,3
Dennis DuVal,31/03/52,1952,march,2
Armond Hill,31/03/53,1953,march,8
Charles Johnson,31/03/49,1949,march,7
David Lee,31/03/42,1942,march,2
DeAndre Liggins,31/03/88,1988,march,5
Mike Niles,31/03/55,1955,march,1
J.R. Reid,31/03/68,1968,march,11
Steve Smith,31/03/69,1969,march,14
David Vanterpool,31/03/73,1973,march,1
Gustavo Ayón,01/04/85,1985,april,3
Ken Bannister,01/04/60,1960,april,5
Tim Bassett,01/04/51,1951,april,7
Bobby Cook,01/04/23,1923,april,1
Erik Daniels,01/04/82,1982,april,1
Kevin Duckworth,01/04/64,1964,april,11
Antonis Fotsis,01/04/81,1981,april,1
Justin Hamilton,01/04/90,1990,april,3
Mark Jackson,01/04/65,1965,april,17
Brook Lopez,01/04/88,1988,april,12
Robin Lopez,01/04/88,1988,april,12
Mitchell Robinson,01/04/98,1998,april,2
Etan Thomas,01/04/78,1978,april,9
Norm Van Lier,01/04/47,1947,april,10
James Wilkes,01/04/58,1958,april,3
Gene Williams,01/04/47,1947,april,1
Larry Bergh,02/04/45,1945,april,1
Andris Biedriņš,02/04/86,1986,april,10
Bob Davis,02/04/50,1950,april,1
Larry Drew,02/04/58,1958,april,10
Nate Huffman,02/04/75,1975,april,1
Randy Livingston,02/04/75,1975,april,11
Phil Martin,02/04/28,1928,april,1
Jim McDaniels,02/04/48,1948,april,5
Isaiah Morris,02/04/69,1969,april,1
Chris Robinson,02/04/74,1974,april,2
Pascal Siakam,02/04/94,1994,april,4
Tamar Slay,02/04/80,1980,april,3
Marcus Brown,03/04/74,1974,april,2
Keith Closs,03/04/76,1976,april,3
Pervis Ellison,03/04/67,1967,april,11
Phil Farbman,03/04/24,1924,april,1
Thomas Hamilton,03/04/75,1975,april,2
Charles Jones,03/04/57,1957,april,15
Earl Lloyd*,03/04/28,1928,april,9
Frank Mason,03/04/94,1994,april,3
McCoy McLemore,03/04/42,1942,april,8
Michael Olowokandi,03/04/75,1975,april,9
Roger Schurig,03/04/42,1942,april,1
LaBradford Smith,03/04/69,1969,april,3
DeShawn Stevenson,03/04/81,1981,april,13
Hollis Thompson,03/04/91,1991,april,4
Logan Vander Velden,03/04/71,1971,april,1
Jarred Vanderbilt,03/04/99,1999,april,2
Derrick Walton,03/04/95,1995,april,2
John Windsor,03/04/40,1940,april,1
Bill Bridges,04/04/39,1939,april,13
Jack Cooley,04/04/91,1991,april,2
Rudy Fernández,04/04/85,1985,april,4
Ben Gordon,04/04/83,1983,april,11
Frank Kaminsky,04/04/93,1993,april,5
Rich King,04/04/69,1969,april,4
Bob Lackey,04/04/49,1949,april,2
Sean May,04/04/84,1984,april,4
Stanislav Medvedenko,04/04/79,1979,april,7
Larry Miller,04/04/46,1946,april,7
George Senesky,04/04/22,1922,april,8
Daniel Theis,04/04/92,1992,april,3
Hal Tidrick,04/04/15,1915,april,1
Anthony Tucker,04/04/69,1969,april,1
Steve Bardo,05/04/68,1968,april,3
Matt Bonner,05/04/80,1980,april,12
Mike Champion,05/04/64,1964,april,1
Vince Edwards,05/04/96,1996,april,1
Al Fleming,05/04/54,1954,april,1
Justin Holiday,05/04/89,1989,april,7
Stephen Jackson,05/04/78,1978,april,14
Mario Kasun,05/04/80,1980,april,2
Craig Raymond,05/04/45,1945,april,5
Pape Sy,05/04/88,1988,april,1
Skip Thoren,05/04/43,1943,april,3
Shammond Williams,05/04/75,1975,april,7
Bison Dele,06/04/69,1969,april,8
Spencer Dinwiddie,06/04/93,1993,april,6
Shelton Jones,06/04/66,1966,april,1
Louis King,06/04/99,1999,april,1
Oliver Miller,06/04/70,1970,april,9
Luis Montero,06/04/93,1993,april,2
John Shumate,06/04/52,1952,april,5
Dickey Simpkins,06/04/72,1972,april,7
Zaid Abdul-Aziz,07/04/46,1946,april,10
Thurl Bailey,07/04/61,1961,april,12
Art Burris,07/04/24,1924,april,2
Jim Fox,07/04/43,1943,april,10
Bo Lamar,07/04/51,1951,april,4
Tony Mitchell,07/04/92,1992,april,1
Petey Rosenberg,07/04/18,1918,april,1
